date,close,high,low,open,volume,divCash,sector,industry,VIX_high,10Y_bonds,eps,trailing_eps_1Y,epsQoQ,surprise_%,expected_growth,previous_surprise,days_after_earn_report,Amount,dividends_change,prev_div_change,days_after_divid_report,10Y_bond_MoM,DividendsYield,peRatio,trailingPEG1Y,future_30dprice_change
2023-04-20,166.65,167.87,165.56,166.09,52456377,0.0,Technology,Consumer Electronics,17.69,3.5450000762939453,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,77.0,0.17,-0.2608695652173913,0.0454545454545455,121.0,-0.016916214976072208,0.00102010201020102,28.293718166383705,-270.076400679117,
2023-04-19,167.63,168.16,165.54,165.8,47720166,0.0,Technology,Consumer Electronics,17.72,3.6019999980926514,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,76.0,0.17,-0.2608695652173913,0.0454545454545455,120.0,0.034760141727895766,0.0010141382807373383,28.460101867572156,-271.66460873591586,
2023-04-18,166.47,167.41,165.65,166.1,49923008,0.0,Technology,Consumer Electronics,17.34,3.572000026702881,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,75.0,0.17,-0.2608695652173913,0.0454545454545455,119.0,0.05213550714897597,0.0010212050219258726,28.263157894736842,-269.7846889952151,
2023-04-17,165.23,165.39,164.03,165.09,40713618,0.0,Technology,Consumer Electronics,17.79,3.5910000801086426,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,74.0,0.17,-0.2608695652173913,0.0454545454545455,118.0,0.0016736518543445378,0.0010288688494825397,28.05263157894737,-267.77511961722473,
2023-04-14,165.21,166.32,163.82,164.59,49386480,0.0,Technology,Consumer Electronics,18.12,3.5220000743865967,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,71.0,0.17,-0.2608695652173913,0.0454545454545455,115.0,0.008591056845624001,0.0010289934023364204,28.049235993208832,-267.7427072079023,
2023-04-13,165.56,165.8,161.42,161.63,68445649,0.0,Technology,Consumer Electronics,19.06,3.4519999027252197,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,70.0,0.17,-0.2608695652173913,0.0454545454545455,114.0,-0.05112702257662716,0.0010268180719980673,28.108658743633278,-268.30992437104476,
2023-04-12,160.1,162.06,159.78,161.22,50133062,0.0,Technology,Consumer Electronics,19.98,3.4210000038146973,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,69.0,0.17,-0.2608695652173913,0.0454545454545455,113.0,-0.02674255996701891,0.0010618363522798251,27.181663837011886,-259.4613366260224,
2023-04-11,160.8,162.36,160.51,162.35,47644217,0.0,Technology,Consumer Electronics,19.28,3.434000015258789,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,68.0,0.17,-0.2608695652173913,0.0454545454545455,112.0,-0.07063597366697394,0.0010572139303482587,27.300509337860785,-260.5957709523073,
2023-04-10,162.03,162.03,160.08,161.42,47716882,0.0,Technology,Consumer Electronics,20.05,3.4149999618530273,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,67.0,0.17,-0.2608695652173913,0.0454545454545455,111.0,-0.12993630488130004,0.0010491884218971797,27.509337860780985,-262.5891341256365,
2023-04-06,164.66,164.9584,162.0,162.43,45390123,0.0,Technology,Consumer Electronics,19.88,3.2880001068115234,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,63.0,0.17,-0.2608695652173913,0.0454545454545455,107.0,-0.17303821719032708,0.0010324304627717723,27.955857385398982,-266.85136595153557,
2023-04-05,163.76,165.05,161.8,164.74,51511744,0.0,Technology,Consumer Electronics,20.08,3.2869999408721924,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,62.0,0.17,-0.2608695652173913,0.0454545454545455,106.0,-0.17308175604194675,0.0010381045432340012,27.803056027164686,-265.3928075320264,
2023-04-04,165.63,166.84,165.11,166.595,46278295,0.0,Technology,Consumer Electronics,20.03,3.3369998931884766,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,61.0,0.17,-0.2608695652173913,0.0454545454545455,105.0,-0.16218933978645766,0.001026384109158969,28.120543293718168,-268.4233678036732,-0.0009650763013450137
2023-04-03,166.17,166.29,164.22,164.27,56976187,0.0,Technology,Consumer Electronics,19.83,3.430000066757202,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,60.0,0.17,-0.2608695652173913,0.0454545454545455,104.0,-0.1347123919500408,0.001023048685081543,28.21222410865874,-269.29850285537873,-0.007644072857569406
2023-03-31,164.9,165.0,161.91,162.44,68749792,0.0,Technology,Consumer Electronics,19.43,3.49399995803833,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,57.0,0.17,-0.2608695652173913,0.0454545454545455,101.0,-0.14215565988035173,0.0010309278350515464,27.996604414261462,-267.2403148634047,-0.021597246944345505
2023-03-30,162.36,162.47,161.271,161.53,49501689,0.0,Technology,Consumer Electronics,20.08,3.5510001182556152,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,56.0,0.17,-0.2608695652173913,0.0454545454545455,100.0,-0.11091633561265635,0.0010470559251047056,27.565365025466896,-263.12393887945655,-0.042632230673978366
2023-03-29,160.77,161.05,159.35,159.37,51305691,0.0,Technology,Consumer Electronics,19.45,3.565999984741211,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,55.0,0.17,-0.2608695652173913,0.0454545454545455,99.0,-0.08937689339121457,0.0010574112085588107,27.295415959252974,-260.54715233832366,-0.05251060820367748
2023-03-28,157.65,158.49,155.98,157.97,45992152,0.0,Technology,Consumer Electronics,21.4,3.563999891281128,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,54.0,0.17,-0.2608695652173913,0.0454545454545455,98.0,-0.09127997101530327,0.001078338090707263,26.765704584040748,-255.49081648402515,-0.06389169289234597
2023-03-27,158.28,160.77,157.87,159.94,52390266,0.0,Technology,Consumer Electronics,22.93,3.5280001163482666,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,53.0,0.17,-0.2608695652173913,0.0454545454545455,97.0,-0.1066092119532176,0.0010740459944402327,26.872665534804757,-256.5118073776816,-0.033463605276013664
2023-03-24,160.25,160.34,157.85,158.86,59256343,0.0,Technology,Consumer Electronics,25.21,3.380000114440918,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,50.0,0.17,-0.2608695652173913,0.0454545454545455,94.0,-0.12864136135228021,0.001060842433697348,27.207130730050935,-259.7044296959406,-0.02149355803871289
2023-03-23,158.93,161.5501,157.68,158.83,67622060,0.0,Technology,Consumer Electronics,24.91,3.4059998989105225,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,49.0,0.17,-0.2608695652173913,0.0454545454545455,93.0,-0.13178694507894761,0.0010696533064871328,26.983022071307303,-257.56521068066047,-0.03871045787213456
2023-03-22,157.83,162.14,157.81,159.3,75701811,0.0,Technology,Consumer Electronics,22.38,3.5,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,48.0,0.17,-0.2608695652173913,0.0454545454545455,92.0,-0.11504423071636738,0.001077108281061902,26.79626485568761,-255.782528167927,-0.04357047630590227
2023-03-21,159.28,159.4,156.54,157.32,73938285,0.0,Technology,Consumer Electronics,24.16,3.6059999465942383,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,47.0,0.17,-0.2608695652173913,0.0454545454545455,91.0,-0.05799376125605982,0.0010673028628829734,27.04244482173175,-258.1324278438029,-0.04422442244224423
2023-03-20,157.4,157.82,154.15,155.07,73641415,0.0,Technology,Consumer Electronics,28.91,3.4809999465942383,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,46.0,0.17,-0.2608695652173913,0.0454545454545455,90.0,-0.09419724034987909,0.0010800508259212198,26.723259762309002,-255.08566136749485,-0.061027262423193895
2023-03-17,155.0,156.74,154.28,156.08,98944633,0.0,Technology,Consumer Electronics,26.14,3.3949999809265137,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,43.0,0.17,-0.2608695652173913,0.0454545454545455,87.0,-0.10868995344547083,0.0010967741935483872,26.315789473684212,-251.19617224880366,-0.06890130353817503
2023-03-16,155.85,156.46,151.64,152.16,76254419,0.0,Technology,Consumer Electronics,27.49,3.5850000381469727,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,42.0,0.17,-0.2608695652173913,0.0454545454545455,86.0,-0.0467960339471043,0.0010907924286172603,26.460101867572156,-252.57369964500677,-0.05676935181262477
2023-03-15,152.99,153.245,149.92,151.19,77167866,0.0,Technology,Consumer Electronics,29.91,3.492000102996826,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,41.0,0.17,-0.2608695652173913,0.0454545454545455,85.0,-0.06053266186998674,0.001111183737499183,25.974533106960955,-247.93872511189986,-0.0739664669208886
2023-03-14,152.59,153.4,150.1,151.28,73695893,0.0,Technology,Consumer Electronics,27.24,3.638000011444092,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,40.0,0.17,-0.2608695652173913,0.0454545454545455,84.0,-0.028311951864918528,0.0011140965987286192,25.906621392190154,-247.2904769254513,-0.07834017878714661
2023-03-13,150.47,153.14,147.7,147.805,84457122,0.0,Technology,Consumer Electronics,30.81,3.515000104904175,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,39.0,0.17,-0.2608695652173913,0.0454545454545455,83.0,-0.04561498203412795,0.0011297933142819167,25.546689303904923,-243.8547615372741,-0.0601499063085571
2023-03-10,148.5,150.94,147.6096,150.21,68572400,0.0,Technology,Consumer Electronics,28.97,3.694999933242798,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,36.0,0.17,-0.2608695652173913,0.0454545454545455,80.0,0.011497348906880589,0.0011447811447811449,25.212224108658745,-240.66213921901513,-0.07649253731343286
2023-03-09,150.59,154.535,150.225,153.559,53833582,0.0,Technology,Consumer Electronics,23.14,3.924999952316284,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,35.0,0.17,-0.2608695652173913,0.0454545454545455,79.0,0.06831788944659056,0.0011288930207849128,25.567062818336165,-244.04923599320867,-0.07060420909708076
2023-03-08,152.87,153.47,151.83,152.81,47204791,0.0,Technology,Consumer Electronics,20.01,3.9760000705718994,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,34.0,0.17,-0.2608695652173913,0.0454545454545455,78.0,0.09411117273137082,0.0011120559952901158,25.954159592529713,-247.74425065596526,-0.07160208915340693
2023-03-07,151.6,154.0299,151.13,153.7,56182028,0.0,Technology,Consumer Electronics,19.74,3.9749999046325684,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,33.0,0.17,-0.2608695652173913,0.0454545454545455,77.0,0.12542464089720995,0.0011213720316622692,25.73853989813243,-245.6860626639912,-0.07425500732779677
2023-03-06,153.83,156.3,153.46,153.785,87558028,0.0,Technology,Consumer Electronics,19.19,3.9830000400543213,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,32.0,0.17,-0.2608695652173913,0.0454545454545455,76.0,0.1728504556631294,0.0011051160371839043,26.11714770797963,-249.30004630344175,-0.07124313228279888
2023-03-03,151.03,151.11,147.33,148.045,70732297,0.0,Technology,Consumer Electronics,19.76,3.9639999866485596,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,29.0,0.17,-0.2608695652173913,0.0454545454545455,73.0,0.1669119516767592,0.0011256041845990863,25.641765704584042,-244.76230899830205,-0.0911115123066738
2023-03-02,145.91,146.71,143.9,144.38,52279761,0.0,Technology,Consumer Electronics,21.42,4.072999954223633,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,28.0,0.17,-0.2608695652173913,0.0454545454545455,72.0,0.1541512903349811,0.0011651017750668221,24.772495755517827,-236.46473221176092,-0.11516070345664042
2023-03-01,145.31,147.2285,145.01,146.83,55478991,0.0,Technology,Consumer Electronics,21.32,3.99399995803833,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,27.0,0.17,-0.2608695652173913,0.0454545454545455,71.0,0.12475354126440674,0.0011699126006468928,24.670628183361632,-235.49235993208814,-0.1050135501355014
2023-02-28,147.41,149.08,146.83,147.05,50546998,0.0,Technology,Consumer Electronics,21.37,3.9159998893737793,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,26.0,0.17,-0.2608695652173913,0.0454545454545455,70.0,0.11313246578696678,0.001153246048436334,25.02716468590832,-238.8956629109429,-0.08310008086085718
2023-02-27,147.92,149.17,147.45,147.71,44998470,0.0,Technology,Consumer Electronics,22.02,3.921999931335449,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,25.0,0.17,-0.2608695652173913,0.0454545454545455,69.0,0.12281703322925641,0.0011492698756084372,25.113752122241085,-239.72217934866472,-0.061718997779892315
2023-02-24,146.71,147.19,145.7202,147.11,55469606,0.0,Technology,Consumer Electronics,22.9,3.9489998817443848,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,22.0,0.17,-0.2608695652173913,0.0454545454545455,66.0,0.1406701339055747,0.0011587485515643105,24.908319185059426,-237.761228584658,-0.07309830679807927
2023-02-23,149.4,150.34,147.24,150.09,48394249,0.0,Technology,Consumer Electronics,22.43,3.878999948501587,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,21.0,0.17,-0.2608695652173913,0.0454545454545455,65.0,0.11818963259278781,0.0011378848728246318,25.36502546689304,-242.12069763852432,-0.0677067082683307
2023-02-22,148.91,149.95,147.16,148.87,51011305,0.0,Technology,Consumer Electronics,23.63,3.9230000972747803,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,20.0,0.17,-0.2608695652173913,0.0454545454545455,64.0,0.11290779890485725,0.0011416291719830772,25.28183361629881,-241.32659361012486,-0.0630466243000064
2023-02-21,148.48,151.3,148.405,150.2,58867230,0.0,Technology,Consumer Electronics,23.34,3.9549999237060547,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,19.0,0.17,-0.2608695652173913,0.0454545454545455,63.0,0.13518942609485896,0.0011449353448275863,25.208828522920204,-240.6297268096927,-0.0592409554584048
2023-02-17,152.55,153.0,150.85,152.35,59144118,0.0,Technology,Consumer Electronics,21.3,3.828000068664551,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,15.0,0.17,-0.2608695652173913,0.0454545454545455,59.0,0.12687665141007698,0.0011143887250081941,25.899830220713078,-247.22565210680648,-0.04225263686589642
2023-02-16,153.71,156.33,153.3475,153.51,68167942,0.0,Technology,Consumer Electronics,20.27,3.8429999351501465,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,14.0,0.17,-0.2608695652173913,0.0454545454545455,58.0,0.13866664745189516,0.0011059787912302387,26.09677419354839,-249.1055718475072,-0.023443456162642984
2023-02-15,155.33,155.5,152.88,153.11,65669252,0.0,Technology,Consumer Electronics,19.41,3.809000015258789,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,13.0,0.17,-0.2608695652173913,0.0454545454545455,57.0,0.07751058635793884,0.0010944440867829781,26.371816638370124,-251.73097700262375,0.0021290322580644894
2023-02-14,153.2,153.77,150.86,152.12,61707573,0.0,Technology,Consumer Electronics,20.75,3.760999917984009,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,12.0,0.17,-0.2608695652173913,0.0454545454545455,56.0,0.0712047866248735,0.0011096605744125329,26.01018675721562,-248.27905540978531,-0.01700352903432789
2023-02-13,153.85,154.26,150.92,150.952,62199013,0.0,Technology,Consumer Electronics,21.69,3.7170000076293945,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,11.0,0.17,-0.2608695652173913,0.0454545454545455,55.0,0.0777037213899423,0.0011049723756906078,26.120543293718168,-249.33245871276415,0.005621282436760522
2023-02-10,151.01,151.3401,149.22,149.46,57450708,0.23,Technology,Consumer Electronics,21.94,3.74399995803833,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,8.0,0.17,-0.2608695652173913,0.0454545454545455,52.0,0.05346090673123949,0.0011257532613734192,25.6383701188455,-244.7298965889796,-0.010354544858771964
